Topic,Words,Frequency,Timestamp
33,"российская сторона, россия является, россия китай, совета безопасности, антироссийского",6,2022-02-24 00:00:00+00:00
35,"спецоперацию, операцию украине, спецоперация, операции россии, военная операция",36,2022-02-24 00:00:00+00:00
36,"подписал указ, освобождён, указ, указом, освобожден",2,2022-02-24 00:00:00+00:00
37,"интернета, интернет, сайты, сети, сайт",17,2022-02-24 00:00:00+00:00
38,"ввели санкции, новые санкции, санкции отношении, санкции против, санкции",45,2022-02-24 00:00:00+00:00
39,"российского газа, рублях, поставок газа, отношению россии, газа",7,2022-02-24 00:00:00+00:00
40,"беженцев, откроют, украинских, украинцев, украинцы",1,2022-02-24 00:00:00+00:00
42,"заблокировали, заблокированы, русскоязычных, заблокировал, блокировок",44,2022-02-24 00:00:00+00:00
43,"заявил секретарь, белоруссия, беларусь, обороны украины, белоруссии",11,2022-02-24 00:00:00+00:00
44,"главнокомандующим, главнокомандующий, спецоперации украине, онлайн, верховным",1,2022-02-24 00:00:00+00:00
46,"россию, въезд, вхождении, россии новых, вступлении",1,2022-02-24 00:00:00+00:00
50,"лукашенко, александр лукашенко, переговоров, стороны обсудили, переговоры",2,2022-02-24 00:00:00+00:00
51,"вооруженных сил, украинской стороны, эвакуации, беспилотных, войсками",8,2022-02-24 00:00:00+00:00
53,"российского газа, российскую нефть, газа, газ, нефть",18,2022-02-24 00:00:00+00:00
54,"украина new_militarycolumnist, национальной безопасности, заявил российские, власти украины, обороны украины",12,2022-02-24 00:00:00+00:00
58,"правительство россии, правительство рф, зерновых, запрет, запрете",12,2022-02-24 00:00:00+00:00
60,"youtube, цензуры, ютуб, заблокировал, заблокирован",27,2022-02-24 00:00:00+00:00
63,"эрдоган, ситуация, происходящее, турецкие, происходит",3,2022-02-24 00:00:00+00:00
64,"российский лидер, россии украине, ситуацию украине, ситуации украине, российская сторона",33,2022-02-24 00:00:00+00:00
66,"агентов, русофобские, агенты, предателей, неравнодушных",2,2022-02-24 00:00:00+00:00
67,"спортсменов, спорта, спортивные, спорт, российских",2,2022-02-24 00:00:00+00:00
69,"россия готова, ядерное, ядерное оружие, ядерным, ядерного",1,2022-02-24 00:00:00+00:00
70,"соловьёв live, соловьев live, эфире, соловьёвlive, трансляция",1,2022-02-24 00:00:00+00:00
73,"индией, индию, ситуацию, ситуацию вокруг, российская сторона",2,2022-02-24 00:00:00+00:00
75,"телеграме, телеграм, telegram, телеграма, мессенджер",1,2022-02-24 00:00:00+00:00
79,"ютуб, youtube, блогеров, мнения, российских властей",9,2022-02-24 00:00:00+00:00
80,"поляки, польшу, поляков, польши, польша",3,2022-02-24 00:00:00+00:00
81,"цены, повышении, предприятиями, цен, ценам",5,2022-02-24 00:00:00+00:00
83,"сербия, поддержку россии, санкциях, резолюция, резолюции",2,2022-02-24 00:00:00+00:00
89,"бизнесменов, российских, россии заседании, собирают, собранию",1,2022-02-24 00:00:00+00:00
94,"отношении российских, google, youtube, нарушают, россиян",8,2022-02-24 00:00:00+00:00
97,"уровень доверия, доверяют, опроса, опрошенных, оценивают",6,2022-02-24 00:00:00+00:00
98,"отреагировали, глава государства, санкций против, такие заявления, риторику",6,2022-02-24 00:00:00+00:00
101,"наши бойцы, мужества, бойцов, командира, наши воины",9,2022-02-24 00:00:00+00:00
108,"правительство, санкции, ответом, россии сообщили, ведомству",1,2022-02-24 00:00:00+00:00
112,"российская делегация, российской делегации, прибудет, переговорах украиной, раунда переговоров",1,2022-02-24 00:00:00+00:00
115,"россия продолжит, продолжит, будут достигнуты, спецоперация, заявил дмитрий",7,2022-02-24 00:00:00+00:00
119,"прибыло, германией, украину, вооружения, украина",1,2022-02-24 00:00:00+00:00
-1,"россию, санкций, власти, российские, нужно",1227,2022-03-26 00:00:00+00:00
0,"украинских, украинские, украину, фронтах, войска",108,2022-03-26 00:00:00+00:00
1,"украинских переговоров, украинской стороны, украинская сторона, переговорный процесс, российско украинских",53,2022-03-26 00:00:00+00:00
2,"предателя, риторику, прокомментировал, лицо, родину",64,2022-03-26 00:00:00+00:00
3,"меры поддержки, это позволит, льготы, выплат, правительство рф",59,2022-03-26 00:00:00+00:00
4,"недружественные, приложения, ограничен, экстремистской, жалобу",3,2022-03-26 00:00:00+00:00
5,"спикер госдумы, заявил спикер, рублях, спикера, спикер",43,2022-03-26 00:00:00+00:00
6,"донецк, посетили, донецке, посетил, побывал",14,2022-03-26 00:00:00+00:00
7,"героя россии, россии председатель, герой россии, военнослужащим, командира",10,2022-03-26 00:00:00+00:00
8,"переговоры россией, россией украиной, переговоры, переговоров, позиция россии",1,2022-03-26 00:00:00+00:00
9,"отсрочки, специалистам, позволяют, правительстве, минобороны",15,2022-03-26 00:00:00+00:00
10,"мигранты, мигрантам, мигрантов, мигрантами, миграционной политики",5,2022-03-26 00:00:00+00:00
11,"переговоры рф, переговоры, переговоров, украинских переговоров, поговорил",8,2022-03-26 00:00:00+00:00
12,"сша украине, санкциям, украине, рф украине, американцы",47,2022-03-26 00:00:00+00:00
13,"провести проверку, возглавил, обратился, проверку, обратился просьбой",3,2022-03-26 00:00:00+00:00
14,"артистов, сцене, артисты, россии хотят, концерта",3,2022-03-26 00:00:00+00:00
15,"терактов, террористических атак, нападений, израиль, теракт",2,2022-03-26 00:00:00+00:00
16,"интервью, мантуров, эксклюзивном интервью, интервью павлу, министр",10,2022-03-26 00:00:00+00:00
17,"россии заявил, часть россии, российская сторона, переговоров россии, переговоры рф",14,2022-03-26 00:00:00+00:00
19,"подписчиков, наш канал, товарищи, рекомендуем, следит",7,2022-03-26 00:00:00+00:00
20,"переговоров россии, россия готова, переговорах, переговорам, договоренностей",4,2022-03-26 00:00:00+00:00
23,"обстрелов, обстрела, обстрел, пострадавших, донецк",23,2022-03-26 00:00:00+00:00
26,"переговорам, переговорах, обсудить, просят, пашиняна",2,2022-03-26 00:00:00+00:00
29,"приоритете, обеспечить, поручил, поручений, ситуацией",3,2022-03-26 00:00:00+00:00
30,"российские сми, антироссийской, российских сми, безопасности российской, российскими",19,2022-03-26 00:00:00+00:00
33,"провокации, россия считает, украинских, вооруженными силами, потребовала",15,2022-03-26 00:00:00+00:00
35,"спецоперации украине, будут достигнуты, будут выполнены, украине будут, спецоперация",32,2022-03-26 00:00:00+00:00
38,"санкции сша, новых санкций, санкции отношении, санкции, санкции против",9,2022-03-26 00:00:00+00:00
39,"газа европу, российского газа, поставок газа, рублях, природного газа",80,2022-03-26 00:00:00+00:00
42,"заблокировали, заблокировал, запретил, заблокированы, заблокировать",32,2022-03-26 00:00:00+00:00
43,"провокации, угрозы, белоруссией, белоруссия, белоруссии",3,2022-03-26 00:00:00+00:00
44,"проинформировал, пожар, сообщил дмитрий, топливом, доложили",8,2022-03-26 00:00:00+00:00
46,"вправе, суверенитет, высказался, принятии, принималось",14,2022-03-26 00:00:00+00:00
48,"русофобию, антироссийского, антироссийскими, русофобии, антироссийские",1,2022-03-26 00:00:00+00:00
50,"лукашенко, россии белоруссии, александр лукашенко, поздравил, белоруссия",7,2022-03-26 00:00:00+00:00
51,"украинских войск, украинских, россии украине, боевиков, беспилотных",1,2022-03-26 00:00:00+00:00
53,"газа европу, российскую нефть, нефти газа, нефть, российской нефти",6,2022-03-26 00:00:00+00:00
54,"украина new_militarycolumnist, обороны украины, российские войска, украинское, национальной безопасности",9,2022-03-26 00:00:00+00:00
57,"жителей донбасса, донбасс, фильм, medvedevvesti, родину",6,2022-03-26 00:00:00+00:00
58,"ограничить, это позволит, правительство, топлива, топливо",4,2022-03-26 00:00:00+00:00
60,"youtube, ютуб, заблокировал, блокировки, блокировка",25,2022-03-26 00:00:00+00:00
62,"правам человека, правосудия, незаконных, украинские, украинские военные",3,2022-03-26 00:00:00+00:00
63,"санкций, санкциям, эрдоган, турцией, турцию",3,2022-03-26 00:00:00+00:00
64,"российской стороны, ситуацию украине, ситуации украине, россии рассказал, итогам встречи",3,2022-03-26 00:00:00+00:00
65,"необходимую помощь, топливом, оказания помощи, помощи пострадавшим, снабжения",2,2022-03-26 00:00:00+00:00
66,"активисты, пропагандой, публикует, оппозиционеров, говорит",3,2022-03-26 00:00:00+00:00
67,"осудил, раскритиковал, спортсменов, спорт, спорта",1,2022-03-26 00:00:00+00:00
70,"эфире, вещает, трансляция, соловьёв live, трансляцию",1,2022-03-26 00:00:00+00:00
76,"ведется, это заявление, отношения россии, важно, сторонами",2,2022-03-26 00:00:00+00:00
77,"словакии, украину, отставку, недоверия, повестке дня",3,2022-03-26 00:00:00+00:00
78,"российские активы, российских активов, миллиардов долларов, олигарха, миллиардов",1,2022-03-26 00:00:00+00:00
79,"блогеров, ютуб, заблокировали, youtube, заблокирован",7,2022-03-26 00:00:00+00:00
80,"польшей, польши, воевать, польша, поляки",2,2022-03-26 00:00:00+00:00
81,"наказывать, штраф, цен, федеральная, цены",4,2022-03-26 00:00:00+00:00
84,"переговоров россии, переговоры, канцлера, переговоров, канцлер",2,2022-03-26 00:00:00+00:00
90,"компенсацию, помощью, заявку, подать, меры поддержки",1,2022-03-26 00:00:00+00:00
91,"telegram канал, телеграм канал, телеграме, телеграм, telegram",5,2022-03-26 00:00:00+00:00
94,"google, нарушают, рекламы, российского законодательства, информационной войне",22,2022-03-26 00:00:00+00:00
95,"звучит, поздравляю, уважать, наш народ, гимн",3,2022-03-26 00:00:00+00:00
98,"оскорбления, отношения россии, оскорбление, новых санкций, отношений рф",15,2022-03-26 00:00:00+00:00
107,"призыве, призыва, призыв, мобилизованных, мобилизации",1,2022-03-26 00:00:00+00:00
108,"правоохранителей, россии сообщили, правоохранители, никаких, никакой",1,2022-03-26 00:00:00+00:00
117,"переговорах, переговорам, переговоры, будут обсуждать, переговоров",1,2022-03-26 00:00:00+00:00
119,"вооружение, вооружения, передать украине, украину, канцлера",4,2022-03-26 00:00:00+00:00
-1,"украинских, военные, украинские, нужно, украины",725,2022-04-25 00:00:00+00:00
0,"украинских, украину, украинские, украины, россию",43,2022-04-25 00:00:00+00:00
1,"россия готова, безопасности россии, совещание, ведет, отстаивать",32,2022-04-25 00:00:00+00:00
2,"зампред рф, дмитрий прокомментировал, мирный договор, мирного договора, зампредседателя",39,2022-04-25 00:00:00+00:00
3,"правительством, правительство рф, регионам, правительство россии, бюджета",22,2022-04-25 00:00:00+00:00
4,"комментарии, комментариев, мониторинга, жалобы, telegram",3,2022-04-25 00:00:00+00:00
5,"заявил спикер, спикер госдумы, нацистских, спикер, боевиков",62,2022-04-25 00:00:00+00:00
6,"замруководителя рф, замглавы рф, волонтеров, регионы, регионов",74,2022-04-25 00:00:00+00:00
7,"героя россии, глава государства, героев, героя, поздравил",18,2022-04-25 00:00:00+00:00
9,"вернулись, покинувших, уехали, операторов, обратно",12,2022-04-25 00:00:00+00:00
10,"ближайшее время, принят закон, миграционной политики, мигрантам, соотечественников",6,2022-04-25 00:00:00+00:00
11,"телефонный разговор, поговорил, телефону, пообщался, обсудил",17,2022-04-25 00:00:00+00:00
12,"заявил секретарь, безопасности россии, украинских, секретарь рф, операции украине",74,2022-04-25 00:00:00+00:00
13,"виновным, скандале, губернатора, лишения свободы, лет лишения",2,2022-04-25 00:00:00+00:00
14,"сцене, случился, провести проверку, концерта, выступать",11,2022-04-25 00:00:00+00:00
16,"телеканале россия, российский лидер, москва телеканале, эксклюзивном интервью, интервью",16,2022-04-25 00:00:00+00:00
17,"переговоров россии, переговорам украине, переговорах украиной, переговоров киевом, переговоров украиной",8,2022-04-25 00:00:00+00:00
18,"святого, святой, столицы, центром, москву",1,2022-04-25 00:00:00+00:00
19,"подписчики, каналов, русский, русском, русское",11,2022-04-25 00:00:00+00:00
20,"мнение, такое мнение, переговорам, предложила, отметила",3,2022-04-25 00:00:00+00:00
21,"ветераны россии, ветеранов, годовщины победы, ветераны, церемонию",6,2022-04-25 00:00:00+00:00
22,"молдавии, подозревают, провел заседание, конфликта, проводят",28,2022-04-25 00:00:00+00:00
23,"обстрела, обстрелов, обстрел, донецк, донецке",13,2022-04-25 00:00:00+00:00
25,"подписчики, наши войска, помогал, дорогих, дорогие друзья",8,2022-04-25 00:00:00+00:00
26,"армению, армении, армения, пашиняна, азербайджану",2,2022-04-25 00:00:00+00:00
30,"террористической организацией, антироссийская, представляет угрозу, нежелательной, угрозу",8,2022-04-25 00:00:00+00:00
33,"совета безопасности, резолюцию, совет безопасности, китай, посольства",4,2022-04-25 00:00:00+00:00
34,"украинского зерна, польшу, зерна, зерновых, вывоза",2,2022-04-25 00:00:00+00:00
35,"россии должны, россии должна, рф должна, должны, должны иметь",10,2022-04-25 00:00:00+00:00
38,"новые санкции, санкции против, санкции, санкций, санкций против",6,2022-04-25 00:00:00+00:00
39,"российского газа, поставок газа, рублях, газа, газ",17,2022-04-25 00:00:00+00:00
40,"украинцев, украинцы, украинским, мобилизации, добровольцев",1,2022-04-25 00:00:00+00:00
42,"заблокировали, заблокировал, заблокированы, заблокирован, заблокировала",4,2022-04-25 00:00:00+00:00
43,"белоруссией, белоруссия, белоруссии, рф белоруссии, вооруженных сил",8,2022-04-25 00:00:00+00:00
45,"банды, арестован, несовершеннолетних, жертвы, бандитов",2,2022-04-25 00:00:00+00:00
46,"референдумы, референдумов, референдум, состоятся, предполагается",2,2022-04-25 00:00:00+00:00
49,"проект закона, логистики, санкций, зампред, разрабатывает",1,2022-04-25 00:00:00+00:00
50,"лукашенко, александр лукашенко, белоруссию, александра лукашенко, россии белоруссии",12,2022-04-25 00:00:00+00:00
54,"мобилизации, генштаб, украина new_militarycolumnist, обороны украины, военные",1,2022-04-25 00:00:00+00:00
58,"топлива, топливо, экспорта, нехватка, вице премьер",3,2022-04-25 00:00:00+00:00
60,"цензура, youtube, россиян, контента, заблокировал",3,2022-04-25 00:00:00+00:00
62,"неонацистов, неонацистами, националистами, боевиков, трибунал",4,2022-04-25 00:00:00+00:00
63,"турки, турцию, турецкие, турции, турция",2,2022-04-25 00:00:00+00:00
64,"украинских переговоров, переговоров, ситуацию украине, переговорам, провел телефонный",8,2022-04-25 00:00:00+00:00
65,"необходимую помощь, помощи пострадавшим, принять меры, оказания помощи, родным близким",2,2022-04-25 00:00:00+00:00
67,"спортсменов, конторы, скандалов, федерация, скандала",2,2022-04-25 00:00:00+00:00
69,"безопасности россии, ядерная, ядерной, ядерным, ядерных",1,2022-04-25 00:00:00+00:00
70,"эфире, соловьёв live, вещает, соловьёвlive, соловьев live",3,2022-04-25 00:00:00+00:00
72,"ислама, рассказать, блогеры, писали, религиозные",1,2022-04-25 00:00:00+00:00
78,"российских активов, олигархов, financial, изъять, financial times",2,2022-04-25 00:00:00+00:00
79,"цензуры, цензура, ютуб, youtube, свободы слова",1,2022-04-25 00:00:00+00:00
83,"экстренное заседание, сербия, сербии, национальной безопасности, властей",4,2022-04-25 00:00:00+00:00
86,"ракеты, ракетами, ракетой, украину, ракет",1,2022-04-25 00:00:00+00:00
94,"google, штрафов, штрафа, штрафы, штраф",3,2022-04-25 00:00:00+00:00
96,"ветеранов, ветераны, движение ветераны, движения ветераны, ветерана",2,2022-04-25 00:00:00+00:00
101,"командира, лейтенант, генерал лейтенант, военный, командованием",1,2022-04-25 00:00:00+00:00
105,"олигарха, российского лидера, операцию, говорит, wall street",1,2022-04-25 00:00:00+00:00
108,"россии сообщили, россия планирует, никакой, никаких, никак",3,2022-04-25 00:00:00+00:00
111,"прокуратуры, генеральной прокуратуры, российских журналистов, реагировать, нужно",4,2022-04-25 00:00:00+00:00
114,"российских политиков, генпрокурора, следователи, генерального прокурора, вызывают",3,2022-04-25 00:00:00+00:00
119,"вооружений, канцлера, хочет, поставках, украину",2,2022-04-25 00:00:00+00:00
-1,"нужно, словам, сказал, врага, должны",796,2022-05-25 00:00:00+00:00
0,"украинских, украинские, фронтах, украинские войска, фронта",51,2022-05-25 00:00:00+00:00
1,"российской стороны, совещание, идет речь, ситуацию, совета безопасности",31,2022-05-25 00:00:00+00:00
2,"украина, санкций, украины, интересно, отношений сша",72,2022-05-25 00:00:00+00:00
3,"правительство россии, правительство рф, премьер министр, министр россии, минэкономразвития",13,2022-05-25 00:00:00+00:00
4,"заблокирован, блокировки, vpn, блокировке, блокировка",6,2022-05-25 00:00:00+00:00
5,"заявил спикер, спикер госдумы, рф будут, председатель госдумы, спикера",44,2022-05-25 00:00:00+00:00
6,"лидеры россии, руководителя рф, лидеры, обсуждались вопросы, замглавы рф",24,2022-05-25 00:00:00+00:00
7,"специального назначения, героя россии, специального, вооруженных, кремлёвского",17,2022-05-25 00:00:00+00:00
9,"интернет, сайтов, российским, глава ведомства, обратной связи",14,2022-05-25 00:00:00+00:00
10,"мигрантам, русский язык, мигрантами, русского языка, русском языке",5,2022-05-25 00:00:00+00:00
11,"эрдоган, эрдоганом, телефонный разговор, поговорил, разговор",10,2022-05-25 00:00:00+00:00
12,"заявил секретарь, безопасности россии, секретарь рф, внешней политики, совета безопасности",22,2022-05-25 00:00:00+00:00
13,"законности, правосудия, проверке, законность, задержании",3,2022-05-25 00:00:00+00:00
14,"сцене, концерт, антироссийские, нелепо, патриотических",3,2022-05-25 00:00:00+00:00
16,"рассказал, поговорил, прокомментировал, лидеров россии, телеканале россия",7,2022-05-25 00:00:00+00:00
17,"переговоры россии, переговоров украиной, переговоры рф, россии украины, украинской стороны",11,2022-05-25 00:00:00+00:00
18,"русское, русских, праздником, праздник, русский",3,2022-05-25 00:00:00+00:00
19,"телеграм канал, телеграмм, каналов, телеграм, атмосфера",1,2022-05-25 00:00:00+00:00
20,"спикер совета, спикер, будущее россии, совета федерации, переговорах",16,2022-05-25 00:00:00+00:00
21,"мемориала, ветераны, памятник, великой отечественной, военнослужащие",5,2022-05-25 00:00:00+00:00
22,"арестовать, молдавии, ареста, обвинения, прокуратура",1,2022-05-25 00:00:00+00:00
23,"обстрелов, обстрела, обстрел, погибли, обстреле",23,2022-05-25 00:00:00+00:00
25,"прислали, прибыло, нужные, благодарность, покупают",15,2022-05-25 00:00:00+00:00
26,"оппозиция, оппозиционные, армения, армении, армению",1,2022-05-25 00:00:00+00:00
27,"си цзиньпином, цзиньпином, си цзиньпин, цзиньпин, россия китай",1,2022-05-25 00:00:00+00:00
29,"меры поддержки, дополнительные меры, принять меры, правительству, оперативно реагировать",3,2022-05-25 00:00:00+00:00
30,"террористическим, террористической организацией, террористическими, террористической, экстремистские",2,2022-05-25 00:00:00+00:00
31,"сервисов, сервисы, контроль, поправки, поправок",1,2022-05-25 00:00:00+00:00
33,"заявил россия, обвинений, пиар, ложь, буче",7,2022-05-25 00:00:00+00:00
34,"россия имеет, украинского зерна, россия готова, западные санкции, санкции",5,2022-05-25 00:00:00+00:00
35,"референдумов, нужно, принимать решения, зависит, должны",14,2022-05-25 00:00:00+00:00
38,"антироссийские санкции, санкции, санкции против, санкций, пакет санкций",10,2022-05-25 00:00:00+00:00
39,"российского газа, поставок газа, природного газа, газа, газ",13,2022-05-25 00:00:00+00:00
40,"премьер министру, украинцев, украины также, украинских, министру",4,2022-05-25 00:00:00+00:00
42,"заблокировали, заблокировал, заблокирован, заблокировала, запрещен",3,2022-05-25 00:00:00+00:00
43,"белоруссией, беларусь, угрозы, белоруссия, совета безопасности",3,2022-05-25 00:00:00+00:00
45,"банды, правосудия, бандитов, хищения, несовершеннолетних",1,2022-05-25 00:00:00+00:00
50,"обсудят, россии белоруссии, белоруссию, лукашенко, встретится",1,2022-05-25 00:00:00+00:00
52,"освобождением, церковь, церкви, православных, храме",1,2022-05-25 00:00:00+00:00
53,"газом, нефти газа, газ, российского газа, цены нефть",1,2022-05-25 00:00:00+00:00
54,"украинской армии, украина new_militarycolumnist, раскритиковал, секретарь снбо, обороны украины",1,2022-05-25 00:00:00+00:00
57,"ополчения, снят, фильмов, батальон, режиссер",11,2022-05-25 00:00:00+00:00
58,"правительство россии, правительство рф, правительство, удобрений, правительства",1,2022-05-25 00:00:00+00:00
59,"безопасности россии, двустороннего сотрудничества, иран, партнерстве, сфере безопасности",1,2022-05-25 00:00:00+00:00
60,"санкциями, западных сми, ответит, блокировать, журналистов",1,2022-05-25 00:00:00+00:00
62,"теракты, приговорил, спецслужбами, уголовном, смертная казнь",3,2022-05-25 00:00:00+00:00
63,"сирии, сирийской, вооружённых, турцией, эрдоган",1,2022-05-25 00:00:00+00:00
64,"провел телефонный, стороны обсудили, российской стороны, заявил россия, поговорил",13,2022-05-25 00:00:00+00:00
65,"россии поручил, поручил, правительству, поручение, эксперимент",1,2022-05-25 00:00:00+00:00
66,"русофобские, агентов, агенты, чиновниками, российских журналистов",5,2022-05-25 00:00:00+00:00
68,"враги, депутата, депутат, депутаты, депутатов",1,2022-05-25 00:00:00+00:00
70,"эфире, вещает, соловьёв live, трансляция, трансляцию",4,2022-05-25 00:00:00+00:00
71,"кредиты, кабинет министров, бюджете, кредита, продление",2,2022-05-25 00:00:00+00:00
72,"ислама, мусульман, сценария, мнению, сценариев",1,2022-05-25 00:00:00+00:00
78,"санкции, санкциями, санкции против, российских активов, financial times",2,2022-05-25 00:00:00+00:00
80,"польша, польшу, польши, поляки, премьером",3,2022-05-25 00:00:00+00:00
94,"google, штрафа, грозит, штраф, грозят",4,2022-05-25 00:00:00+00:00
95,"песни, песню, музыка, защитникам, музыки",2,2022-05-25 00:00:00+00:00
98,"отношений рф, диалог, руководителям, отношений, отношениях",2,2022-05-25 00:00:00+00:00
100,"грузии, грузия, тбилиси, правительство, государственность",4,2022-05-25 00:00:00+00:00
102,"единая россия, единой россии, партию, молодежь, вступает",1,2022-05-25 00:00:00+00:00
108,"ситуация, позиция, смертной казни, никакой, смертную казнь",1,2022-05-25 00:00:00+00:00
113,"рост цен, абхазии, санкций, туристов, антироссийских санкций",1,2022-05-25 00:00:00+00:00
119,"вооружения, вооружений, германией, оружия, германия",1,2022-05-25 00:00:00+00:00
-1,"власти, нужно, идет, должны, сил",626,2022-06-24 00:00:00+00:00
0,"российские войска, ситуации украине, российские власти, украинских, обстрелов",58,2022-06-24 00:00:00+00:00
1,"совещание, оперативное, заседание, совета безопасности, безопасности рф",29,2022-06-24 00:00:00+00:00
2,"угрозах, заявил дмитрий, угрожает, угрозы, бывший министр",51,2022-06-24 00:00:00+00:00
3,"правительство россии, премьер министр, председатель правительства, заявил премьер, правительства",9,2022-06-24 00:00:00+00:00
4,"vpn, блокируют, блокировок, заблокирован, заблокировать",1,2022-06-24 00:00:00+00:00
5,"депутатам, ужесточении, пропаганду, законопроекту, пропаганды",43,2022-06-24 00:00:00+00:00
6,"первый замглавы, посетили, провел совещание, замглавы, обсудили",59,2022-06-24 00:00:00+00:00
7,"орденом, мужества, героя россии, полковника, орден",12,2022-06-24 00:00:00+00:00
8,"мирного урегулирования, урегулирования ситуации, урегулирования, властей, стороны сша",1,2022-06-24 00:00:00+00:00
9,"персональных данных, россиянам, безопасности россии, закона, законом",1,2022-06-24 00:00:00+00:00
10,"гражданства, граждан россии, гражданство, паспорта, рассматривают",2,2022-06-24 00:00:00+00:00
11,"переговорах, эрдоган, переговоры, поговорили, переговоров",4,2022-06-24 00:00:00+00:00
12,"национальной безопасности, безопасности страны, отношении российских, национальные интересы, секретарь россии",11,2022-06-24 00:00:00+00:00
14,"культуру, написала, ведомствам, увольнение, литературу",2,2022-06-24 00:00:00+00:00
16,"интервью павлу, интервью, телеканале россия, председатель госдумы, эксклюзивном интервью",9,2022-06-24 00:00:00+00:00
17,"переговоров россии, отказалась, россиянам, никаких, переговоры рф",7,2022-06-24 00:00:00+00:00
18,"русская, русские, русским, русской, писала",2,2022-06-24 00:00:00+00:00
19,"подписчиков, подписчики, нашего канала, телеграм канал, каналов",3,2022-06-24 00:00:00+00:00
20,"референдумы, совет федерации, совета федерации, рассмотрит, федерации",15,2022-06-24 00:00:00+00:00
22,"молдавии, румынии, евросоюзе, европейским, власти",2,2022-06-24 00:00:00+00:00
23,"обстрелов, ранения, ранены, обстрела, пострадавших",6,2022-06-24 00:00:00+00:00
25,"дорогие друзья, поздравили, ребятам, спасибо, дорогие",8,2022-06-24 00:00:00+00:00
28,"генпрокурора, отставку, отставки, увольнения, утечки",11,2022-06-24 00:00:00+00:00
29,"нацпроектов, модернизации, инфраструктурные, проектов, цель",4,2022-06-24 00:00:00+00:00
30,"ввели санкции, признан иноагентом, запрещается, нежелательной, внешней разведки",6,2022-06-24 00:00:00+00:00
33,"резолюцию, резолюция, резолюции, сказал, выступил",1,2022-06-24 00:00:00+00:00
34,"зерновой сделки, важно, зерновых, зерна, зерно",1,2022-06-24 00:00:00+00:00
35,"спецоперация, цели будут, будут выполнены, спецоперации, будут достигнуты",6,2022-06-24 00:00:00+00:00
36,"уходит, должность, новым, территориям, заместителя",1,2022-06-24 00:00:00+00:00
37,"интернет, интернета, абонентов, перестанут, будут работать",1,2022-06-24 00:00:00+00:00
38,"санкционных, санкции, введения санкций, санкции против, антироссийские санкции",5,2022-06-24 00:00:00+00:00
39,"поставок газа, российского газа, газа европу, предлагает, газом",1,2022-06-24 00:00:00+00:00
40,"законопроекте, законопроект, украине будут, украину, украине",2,2022-06-24 00:00:00+00:00
42,"заблокировали, ограничении, ограничил, заблокировал, блокировке",3,2022-06-24 00:00:00+00:00
